,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
68,3,1571,1594,2305.94,2323.68,,,50.442227999999346,2.7777719999999997,0.007291636382559768,2024-06-14 08:00:00+00:00,2024-06-17 08:00:00+00:00,3 days 00:00:00,
69,-3,1594,1617,2323.68,2322.63,,,0.36221399999918136,2.787786,5.1959822350676347e-05,2024-06-17 08:00:00+00:00,2024-06-18 08:00:00+00:00,1 days 00:00:00,
70,3,1617,1640,2322.63,2328.03,,,13.409604000000272,2.7903960000000003,0.0019244856046810193,2024-06-18 08:00:00+00:00,2024-06-19 08:00:00+00:00,1 days 00:00:00,
71,3,1640,1661,2328.03,2340.48,,,34.54889399999946,2.8011060000000003,0.004946799654643479,2024-06-19 08:00:00+00:00,2024-06-20 08:00:00+00:00,1 days 00:00:00,
72,-3,1661,1684,2340.48,2362.95,,,-70.2320579999994,2.822058,-0.010002514868744759,2024-06-20 08:00:00+00:00,2024-06-21 08:00:00+00:00,1 days 00:00:00,
73,-3,1684,1707,2362.95,2324.48,,,112.5975419999994,2.8124580000000003,0.015883752935948597,2024-06-21 08:00:00+00:00,2024-06-24 08:00:00+00:00,3 days 00:00:00,
74,-3,1707,1730,2324.48,2327.47,,,-11.761169999999346,2.79117,-0.001686566457874325,2024-06-24 08:00:00+00:00,2024-06-25 08:00:00+00:00,1 days 00:00:00,
75,3,1730,1753,2327.47,2316.82,,,-34.73657399999891,2.7865740000000003,-0.004974868849007552,2024-06-25 08:00:00+00:00,2024-06-26 08:00:00+00:00,1 days 00:00:00,
76,3,1753,1776,2316.82,2300.51,,,-51.700397999999836,2.7703980000000006,-0.00743841386037755,2024-06-26 08:00:00+00:00,2024-06-27 08:00:00+00:00,1 days 00:00:00,
77,3,1776,1799,2300.51,2321.25,,,59.44694399999935,2.7730560000000004,0.008613589160664252,2024-06-27 08:00:00+00:00,2024-06-28 08:00:00+00:00,1 days 00:00:00,
78,3,1799,1822,2321.25,2323.67,,,4.473048000000218,2.7869520000000003,0.0006423332256328668,2024-06-28 08:00:00+00:00,2024-07-01 08:00:00+00:00,3 days 00:00:00,
79,-3,1822,1845,2323.67,2327.29,,,-13.650575999999672,2.790576,-0.0019581919980031174,2024-07-01 08:00:00+00:00,2024-07-02 08:00:00+00:00,1 days 00:00:00,
80,3,1845,1868,2327.29,2334.49,,,18.802931999999455,2.797068,0.002693108293336805,2024-07-02 08:00:00+00:00,2024-07-03 08:00:00+00:00,1 days 00:00:00,
81,3,1868,1891,2334.49,2358.57,,,69.42416400000114,2.815836,0.009912823785923421,2024-07-03 08:00:00+00:00,2024-07-04 08:00:00+00:00,1 days 00:00:00,
82,3,1891,1912,2358.57,2364.0,,,13.456457999999508,2.8335420000000004,0.0019017820119818518,2024-07-04 08:00:00+00:00,2024-07-05 08:00:00+00:00,1 days 00:00:00,
83,3,1912,1935,2364.0,2385.04,,,60.27057599999989,2.849424,0.008498389170896736,2024-07-05 08:00:00+00:00,2024-07-08 08:00:00+00:00,3 days 00:00:00,
84,-3,1935,1958,2385.04,2367.3,,,50.36859599999934,2.8514040000000005,0.007039517995505249,2024-07-08 08:00:00+00:00,2024-07-09 08:00:00+00:00,1 days 00:00:00,
85,-3,1958,1981,2367.3,2367.78,,,-4.281048000000055,2.8410480000000002,-0.0006028031935117082,2024-07-09 08:00:00+00:00,2024-07-10 08:00:00+00:00,1 days 00:00:00,
86,3,1981,2004,2367.78,2382.01,,,39.840126000000055,2.8498740000000002,0.005608646918210236,2024-07-10 08:00:00+00:00,2024-07-11 08:00:00+00:00,1 days 00:00:00,
87,-3,2004,2027,2382.01,2408.66,,,-82.82440199999891,2.874402,-0.011590267883006312,2024-07-11 08:00:00+00:00,2024-07-12 08:00:00+00:00,1 days 00:00:00,
88,-3,2027,2050,2408.66,2411.46,,,-11.292072000000545,2.8920719999999998,-0.0015627045743276961,2024-07-12 08:00:00+00:00,2024-07-15 08:00:00+00:00,3 days 00:00:00,
89,-3,2050,2073,2411.46,2429.35,,,-56.57448599999962,2.904486,-0.007820225921226151,2024-07-15 08:00:00+00:00,2024-07-16 08:00:00+00:00,1 days 00:00:00,
90,3,2073,2096,2429.35,2467.83,,,112.50169200000005,2.938308,0.015436459958425039,2024-07-16 08:00:00+00:00,2024-07-17 08:00:00+00:00,1 days 00:00:00,
91,3,2096,2119,2467.83,2465.16,,,-10.969794000000219,2.959794,-0.001481705790107152,2024-07-17 08:00:00+00:00,2024-07-18 08:00:00+00:00,1 days 00:00:00,
92,-3,2119,2142,2465.16,2425.41,,,116.315658,2.934342,0.015727938957309114,2024-07-18 08:00:00+00:00,2024-07-19 08:00:00+00:00,1 days 00:00:00,
93,3,2142,2165,2425.41,2405.49,,,-62.658540000000215,2.8985399999999997,-0.008611401783615986,2024-07-19 08:00:00+00:00,2024-07-22 08:00:00+00:00,3 days 00:00:00,
94,-3,2165,2188,2405.49,2396.41,,,24.358859999999783,2.88114,0.0033754536497761145,2024-07-22 08:00:00+00:00,2024-07-23 08:00:00+00:00,1 days 00:00:00,
95,3,2188,2211,2396.41,2417.75,,,61.13150400000043,2.888496,0.008503206045710194,2024-07-23 08:00:00+00:00,2024-07-24 08:00:00+00:00,1 days 00:00:00,
96,3,2211,2234,2417.75,2377.53,,,-123.5371679999994,2.877168,-0.017031974356322976,2024-07-24 08:00:00+00:00,2024-07-25 08:00:00+00:00,1 days 00:00:00,
97,3,2234,2257,2377.53,2369.74,,,-26.218362000001257,2.848362,-0.003675854353047281,2024-07-25 08:00:00+00:00,2024-07-26 08:00:00+00:00,1 days 00:00:00,
98,-3,2257,2280,2369.74,2394.79,,,-78.00871800000054,2.8587179999999996,-0.010972894072767591,2024-07-26 08:00:00+00:00,2024-07-29 08:00:00+00:00,3 days 00:00:00,
99,3,2280,2303,2394.79,2386.26,,,-28.458629999999236,2.8686300000000005,-0.003961186575858271,2024-07-29 08:00:00+00:00,2024-07-30 08:00:00+00:00,1 days 00:00:00,
100,-3,2303,2326,2386.26,2421.09,,,-107.37440999999978,2.8844100000000004,-0.014998981670061128,2024-07-30 08:00:00+00:00,2024-07-31 08:00:00+00:00,1 days 00:00:00,
101,3,2326,2349,2421.09,2444.14,,,66.23086199999918,2.9191380000000002,0.009118601125939046,2024-07-31 08:00:00+00:00,2024-08-01 08:00:00+00:00,1 days 00:00:00,
102,3,2349,2372,2444.14,2457.78,,,37.97884800000098,2.941152,0.005179578911191716,2024-08-01 08:00:00+00:00,2024-08-02 08:00:00+00:00,1 days 00:00:00,
103,3,2372,2395,2457.78,2452.55,,,-18.636198000000054,2.9461980000000003,-0.002527511005867138,2024-08-02 08:00:00+00:00,2024-08-05 08:00:00+00:00,3 days 00:00:00,
104,-3,2395,2418,2452.55,2407.95,,,130.88370000000108,2.9163,0.01778879125807844,2024-08-05 08:00:00+00:00,2024-08-06 08:00:00+00:00,1 days 00:00:00,
105,3,2418,2441,2407.95,2392.68,,,-48.690377999999946,2.8803779999999994,-0.006740225503021261,2024-08-06 08:00:00+00:00,2024-08-07 08:00:00+00:00,1 days 00:00:00,
106,-3,2441,2464,2392.68,2394.28,,,-7.672176000001091,2.8721759999999996,-0.0010688399618839866,2024-08-07 08:00:00+00:00,2024-08-08 08:00:00+00:00,1 days 00:00:00,
107,-3,2464,2487,2394.28,2423.77,,,-91.36082999999934,2.8908300000000002,-0.012719318542526357,2024-08-08 08:00:00+00:00,2024-08-09 08:00:00+00:00,1 days 00:00:00,
108,3,2487,2510,2423.77,2433.26,,,25.55578200000071,2.914218,0.0035146049336365597,2024-08-09 08:00:00+00:00,2024-08-12 08:00:00+00:00,3 days 00:00:00,
109,3,2510,2533,2433.26,2461.9,,,82.98290399999962,2.9370960000000004,0.01136786368904261,2024-08-12 08:00:00+00:00,2024-08-13 08:00:00+00:00,1 days 00:00:00,
110,3,2533,2556,2461.9,2461.78,,,-3.314207999999673,2.9542080000000004,-0.0004487330923269983,2024-08-13 08:00:00+00:00,2024-08-14 08:00:00+00:00,1 days 00:00:00,
111,3,2556,2579,2461.78,2453.29,,,-28.419042000000708,2.9490420000000004,-0.0038480343491295735,2024-08-14 08:00:00+00:00,2024-08-15 08:00:00+00:00,1 days 00:00:00,
112,3,2579,2602,2453.29,2452.62,,,-4.953546000000219,2.9435460000000004,-0.0006730480293810013,2024-08-15 08:00:00+00:00,2024-08-16 08:00:00+00:00,1 days 00:00:00,
113,3,2602,2625,2452.62,2500.56,,,140.84809200000015,2.971908,0.01914253492183861,2024-08-16 08:00:00+00:00,2024-08-19 08:00:00+00:00,3 days 00:00:00,
114,3,2625,2648,2500.56,2500.72,,,-2.5207680000004364,3.000768,-0.0003360271299229999,2024-08-19 08:00:00+00:00,2024-08-20 08:00:00+00:00,1 days 00:00:00,
115,3,2648,2671,2500.72,2516.06,,,43.00993200000043,3.0100680000000004,0.0057330064941297195,2024-08-20 08:00:00+00:00,2024-08-21 08:00:00+00:00,1 days 00:00:00,
116,3,2671,2694,2516.06,2501.83,,,-45.700734000000054,3.0107340000000002,-0.006054536855241884,2024-08-21 08:00:00+00:00,2024-08-22 08:00:00+00:00,1 days 00:00:00,
117,-3,2694,2717,2501.83,2493.33,,,22.502904,2.997096,0.0029981925230730725,2024-08-22 08:00:00+00:00,2024-08-23 08:00:00+00:00,1 days 00:00:00,
